subID,partnerID,dyad,bin_num,gap_length_mean_1,gap_length_median_1,gap_length_mean_speaker_1,gap_length_median_speaker_1,gap_length_mean_partner_1,gap_length_median_partner_1,connection_1,num_turns_1,gap_length_mean_2,gap_length_median_2,gap_length_mean_speaker_2,gap_length_median_speaker_2,gap_length_mean_partner_2,gap_length_median_partner_2,connection_2,num_turns_2,gap_length_mean_3,gap_length_median_3,gap_length_mean_speaker_3,gap_length_median_speaker_3,gap_length_mean_partner_3,gap_length_median_partner_3,connection_3,num_turns_3,gap_length_mean_4,gap_length_median_4,gap_length_mean_speaker_4,gap_length_median_speaker_4,gap_length_mean_partner_4,gap_length_median_partner_4,connection_4,num_turns_4,gap_length_mean_5,gap_length_median_5,gap_length_mean_speaker_5,gap_length_median_speaker_5,gap_length_mean_partner_5,gap_length_median_partner_5,connection_5,num_turns_5,gap_length_mean_6,gap_length_median_6,gap_length_mean_speaker_6,gap_length_median_speaker_6,gap_length_mean_partner_6,gap_length_median_partner_6,connection_6,num_turns_6,gap_length_mean_10,gap_length_median_10,gap_length_mean_speaker_10,gap_length_median_speaker_10,gap_length_mean_partner_10,gap_length_median_partner_10,connection_10,num_turns_10,gap_length_mean_12,gap_length_median_12,gap_length_mean_speaker_12,gap_length_median_speaker_12,gap_length_mean_partner_12,gap_length_median_partner_12,connection_12,num_turns_12,gap_length_mean_15,gap_length_median_15,gap_length_mean_speaker_15,gap_length_median_speaker_15,gap_length_mean_partner_15,gap_length_median_partner_15,connection_15,num_turns_15,gap_length_mean_20,gap_length_median_20,gap_length_mean_speaker_20,gap_length_median_speaker_20,gap_length_mean_partner_20,gap_length_median_partner_20,connection_20,num_turns_20,gap_length_mean_24,gap_length_median_24,gap_length_mean_speaker_24,gap_length_median_speaker_24,gap_length_mean_partner_24,gap_length_median_partner_24,connection_24,num_turns_24,gap_length_mean_30,gap_length_median_30,gap_length_mean_speaker_30,gap_length_median_speaker_30,gap_length_mean_partner_30,gap_length_median_partner_30,connection_30,num_turns_30,gap_length_mean_40,gap_length_median_40,gap_length_mean_speaker_40,gap_length_median_speaker_40,gap_length_mean_partner_40,gap_length_median_partner_40,connection_40,num_turns_40,gap_length_mean_60,gap_length_median_60,gap_length_mean_speaker_60,gap_length_median_speaker_60,gap_length_mean_partner_60,gap_length_median_partner_60,connection_60,num_turns_60,gap_length_mean_120,gap_length_median_120,gap_length_mean_speaker_120,gap_length_median_speaker_120,gap_length_mean_partner_120,gap_length_median_partner_120,connection_120,num_turns_120
44.0,252.0,44_252,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.0666666666667,421.0,594.8571428571429,412.0,1245.875,807.0,81.913,15.0,527.0,534.0,272.375,412.5,781.625,666.0,61.0,16.0,914.8888888888889,699.0,485.25,458.0,1258.6,882.0,60.518,9.0,376.42857142857144,458.0,39.142857142857146,350.0,713.7142857142857,809.0,58.3775,14.0,464.2,501.5,439.4,406.0,489.0,597.0,56.096666666666664,10.0,660.75,483.5,228.25,483.5,1093.25,885.5,54.676,8.0,1023.5,1023.5,834.0,834.0,1213.0,1213.0,53.0,2.0,582.0,693.0,824.0,824.0,461.0,461.0,51.89333333333333,3.0,,,,,,,49.0,0.0,386.0,386.0,584.0,584.0,188.0,188.0,49.0,2.0
252.0,44.0,44_252,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.0666666666667,421.0,1245.875,807.0,594.8571428571429,412.0,39.998,15.0,527.0,534.0,781.625,666.0,272.375,412.5,68.42,16.0,914.8888888888889,699.0,1258.6,882.0,485.25,458.0,72.146,9.0,376.42857142857144,458.0,713.7142857142857,809.0,39.142857142857146,350.0,68.66,14.0,464.2,501.5,489.0,597.0,439.4,406.0,61.28666666666667,10.0,660.75,483.5,1093.25,885.5,228.25,483.5,58.876,8.0,1023.5,1023.5,1213.0,1213.0,834.0,834.0,47.27,2.0,582.0,693.0,461.0,461.0,824.0,824.0,47.29333333333334,3.0,,,,,,,40.0,0.0,386.0,386.0,188.0,188.0,584.0,584.0,45.26,2.0
44.0,252.0,44_252,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.0,661.0,573.0,661.5,1431.0,571.0,62.906666666666666,11.0,447.7857142857143,470.0,205.28571428571428,375.0,690.2857142857143,638.0,61.0,14.0,310.25,208.5,208.5,208.5,412.0,412.0,60.1475,4.0,907.4285714285714,911.0,1229.6666666666667,911.0,665.75,674.5,57.0,7.0,481.42857142857144,597.0,349.6666666666667,249.0,580.25,624.0,55.916,7.0,756.6,444.0,-245.5,-245.5,1424.6666666666667,1583.0,54.095,5.0,697.25,689.0,470.0,470.0,924.5,924.5,53.0,4.0,616.0,616.0,616.0,616.0,,,50.65,1.0,490.6666666666667,74.0,53.5,53.5,1365.0,1365.0,49.0,3.0
252.0,44.0,44_252,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.0,661.0,1431.0,571.0,573.0,661.5,41.59166666666667,11.0,447.7857142857143,470.0,690.2857142857143,638.0,205.28571428571428,375.0,69.112,14.0,310.25,208.5,412.0,412.0,208.5,208.5,73.4575,4.0,907.4285714285714,911.0,665.75,674.5,1229.6666666666667,911.0,66.50666666666666,7.0,481.42857142857144,597.0,580.25,624.0,349.6666666666667,249.0,60.236,7.0,756.6,444.0,1424.6666666666667,1583.0,-245.5,-245.5,56.97,5.0,697.25,689.0,924.5,924.5,470.0,470.0,53.24666666666667,4.0,616.0,616.0,,,616.0,616.0,40.0,1.0,490.6666666666667,74.0,1365.0,1365.0,53.5,53.5,44.4,3.0
44.0,252.0,44_252,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.6666666666667,319.5,350.3333333333333,319.5,545.0,414.0,77.18166666666667,12.0,1327.6666666666667,742.0,836.6,688.0,1941.5,1586.0,57.932,9.0,1087.2222222222222,699.0,528.0,574.5,1534.6,1510.0,61.0,9.0,100.33333333333333,292.0,-285.0,143.0,582.0,550.5,58.836666666666666,9.0,651.4,406.0,1046.0,742.0,59.5,59.5,57.0,5.0,803.875,624.0,636.5,629.0,971.25,624.0,55.125,8.0,834.0,834.0,834.0,834.0,,,53.0,1.0,260.0,324.0,356.5,356.5,195.66666666666666,229.0,51.0,5.0,154.66666666666666,172.0,324.0,324.0,70.0,70.0,49.0,3.0
252.0,44.0,44_252,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.6666666666667,319.5,545.0,414.0,350.3333333333333,319.5,21.883333333333333,12.0,1327.6666666666667,742.0,1941.5,1586.0,836.6,688.0,52.368,9.0,1087.2222222222222,699.0,1534.6,1510.0,528.0,574.5,68.975,9.0,100.33333333333333,292.0,582.0,550.5,-285.0,143.0,68.65,9.0,651.4,406.0,59.5,59.5,1046.0,742.0,65.64,5.0,803.875,624.0,971.25,624.0,636.5,629.0,56.455,8.0,834.0,834.0,,,834.0,834.0,47.02,1.0,260.0,324.0,195.66666666666666,229.0,356.5,356.5,41.87,5.0,154.66666666666666,172.0,70.0,70.0,324.0,324.0,32.06,3.0
44.0,252.0,44_252,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.9,359.5,468.4,311.0,1051.4,552.0,80.645,10.0,479.7692307692308,542.0,279.5,459.0,651.4285714285714,571.0,75.928,13.0,470.0,534.0,265.1666666666667,432.5,674.8333333333334,608.0,61.0,12.0,310.25,208.5,208.5,208.5,412.0,412.0,60.0,4.0,513.3636363636364,566.0,343.6,566.0,654.8333333333334,550.5,57.404,11.0,385.14285714285717,249.0,374.75,327.5,399.0,124.0,56.52,7.0,550.0,298.5,-245.5,-245.5,1345.5,1345.5,53.79333333333334,4.0,758.5,758.5,824.0,824.0,693.0,693.0,52.34,2.0,239.25,262.0,357.0,357.0,121.5,121.5,49.0,4.0
252.0,44.0,44_252,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.9,359.5,1051.4,552.0,468.4,311.0,41.42666666666667,10.0,479.7692307692308,542.0,651.4285714285714,571.0,279.5,459.0,16.386,13.0,470.0,534.0,674.8333333333334,608.0,265.1666666666667,432.5,68.63,12.0,310.25,208.5,412.0,412.0,208.5,208.5,73.22333333333333,4.0,513.3636363636364,566.0,654.8333333333334,550.5,343.6,566.0,67.368,11.0,385.14285714285717,249.0,399.0,124.0,374.75,327.5,63.375,7.0,550.0,298.5,1345.5,1345.5,-245.5,-245.5,55.7,4.0,758.5,758.5,693.0,693.0,824.0,824.0,49.07,2.0,239.25,262.0,121.5,121.5,357.0,357.0,32.0,4.0
44.0,252.0,44_252,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.1818181818181,421.0,358.0,412.0,1099.0,807.0,82.54333333333334,11.0,199.33333333333334,263.0,78.0,263.0,351.0,376.0,78.446,9.0,1398.0,688.0,860.25,675.0,2115.0,1751.0,57.165,7.0,1398.6,825.0,762.0,762.0,1823.0,2548.0,60.86333333333334,5.0,-125.66666666666667,143.0,-722.0,-722.0,1067.0,1067.0,60.0,3.0,992.5,992.5,1990.0,1990.0,-5.0,-5.0,57.0,2.0,1011.3333333333334,720.5,616.0,560.0,1406.6666666666667,1583.0,55.0,6.0,525.3333333333334,636.0,470.0,470.0,636.0,636.0,53.0,3.0,,,,,,,49.0,0.0
252.0,44.0,44_252,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.1818181818181,421.0,1099.0,807.0,358.0,412.0,37.685,11.0,199.33333333333334,263.0,351.0,376.0,78.0,263.0,35.346,9.0,1398.0,688.0,2115.0,1751.0,860.25,675.0,49.22,7.0,1398.6,825.0,1823.0,2548.0,762.0,762.0,71.35333333333334,5.0,-125.66666666666667,143.0,1067.0,1067.0,-722.0,-722.0,71.688,3.0,992.5,992.5,-5.0,-5.0,1990.0,1990.0,65.415,2.0,1011.3333333333334,720.5,1406.6666666666667,1583.0,616.0,560.0,57.46,6.0,525.3333333333334,636.0,636.0,636.0,470.0,470.0,55.86,3.0,,,,,,,37.88,0.0
