condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments,enjoy_centered,connected_centered
long,D,38,71,65,31.24,35.801,37.188,3,,-2.0,-7.333333333333329
long,D,43,54,30,9.219,28.694000000000003,29.824,16,,-0.5,-16.333333333333336
long,D,44,62,60,15.772,22.285999999999998,26.415,3,,8.166666666666664,10.166666666666664
long,D,47,18,4,6.372000000000001,31.078000000000003,32.106,3,,-5.666666666666668,-13.0
long,D,50,22,4,8.587,15.845999999999998,44.068000000000005,3,,-27.166666666666664,-37.833333333333336
long,D,60,90,80,26.029,29.693,34.589,3,nice,0.1666666666666714,-3.5
long,D,62,79,69,0.9279999999999999,3.719,41.285,5,,2.1666666666666714,-3.0
long,D,63,71,56,11.693,12.603,13.368,3,,-3.5,-3.8333333333333357
long,D,64,74,83,28.872,30.624000000000002,32.157,2,,-7.0,-1.1666666666666714
long,D,67,96,84,14.099,17.25,34.583,5,Interesting,2.6666666666666714,-5.833333333333329
long,D,69,64,82,1.354,2.84,3.516,6,,-11.0,-0.8333333333333286
long,D,71,31,26,15.31,31.296,32.624,3,,-8.5,-8.833333333333336
long,D,74,89,84,7.606,33.042,36.625,5,GOOD,8.666666666666671,2.0
long,D,75,71,97,0.019,24.191,32.149,3,,-4.833333333333329,12.666666666666671
long,D,78,27,1,39.637,65.9,71.84899999999999,4,little awkward,-24.0,-35.5
long,D,82,25,30,27.045,104.031,106.40299999999999,4,,-29.166666666666664,-24.666666666666664
long,D,83,95,92,39.988,44.102,49.762,4,NICE,0.0,-2.3333333333333286
long,D,86,81,85,21.555,24.63,30.56,3,nice,1.0,0.6666666666666714
long,D,92,78,89,27.701999999999998,29.842,31.569000000000003,2,,1.0,16.83333333333333
long,D,98,65,73,5.8389999999999995,111.01299999999999,116.059,5,nice,-2.6666666666666714,1.1666666666666714
long,D,99,41,12,14.638,33.684,34.574,4,,-29.66666666666667,-30.166666666666664
long,D,103,54,31,16.465,63.993,65.186,5,"The second speaker used the first person's information to talk about himself (and not a very interesting tidbit), rather than draw out more information. ",-6.333333333333336,-24.333333333333336
long,D,107,54,50,10.815,34.786,36.672,9,,-8.666666666666664,-8.833333333333336
long,D,108,72,78,4.792,7.534,45.942,4,,-3.5,-4.333333333333329
long,D,115,80,72,16.511,40.711999999999996,47.523,5,GOOD,21.166666666666664,8.5
long,D,121,86,92,16.122,27.618000000000002,29.764,2,,7.5,11.0
long,D,122,76,74,35.829,38.566,39.911,3,,3.3333333333333286,-0.8333333333333286
long,D,123,97,90,13.386,24.761,39.594,5,good,2.1666666666666714,3.0
long,D,132,63,58,30.08,31.319000000000003,32.24,2,,-6.333333333333329,-9.666666666666671
long,D,135,60,73,34.497,36.865,38.324,2,,4.0,21.666666666666664
long,D,137,28,85,7.808,13.190999999999999,50.409,3,sorry no,-51.0,8.333333333333329
long,D,139,100,99,53.736999999999995,56.928000000000004,60.993,3,GOOD,0.3333333333333286,-0.5
long,D,140,23,3,27.278000000000002,30.831,32.899,2,,-23.666666666666664,-8.166666666666666
long,D,142,60,46,33.757,37.861999999999995,38.985,3,,-10.333333333333329,-4.5
long,D,145,48,33,14.349,24.639,27.268,2,,-11.333333333333336,-30.166666666666664
long,D,146,78,70,6.621,139.322,145.955,5,happy to feell,1.1666666666666714,-6.166666666666671
long,D,147,81,85,40.691,44.793,57.013999999999996,4,good  possition about our talk ,-0.8333333333333286,-1.6666666666666714
long,D,158,10,15,29.496,35.295,53.958999999999996,3,Odd pauses,-38.166666666666664,-30.666666666666664
long,D,160,49,12,14.886,17.355,25.709,2,,-7.666666666666664,-36.0
long,D,161,100,99,3.859,5.169,18.101,2,,0.1666666666666714,-0.6666666666666714
long,D,163,35,46,50.235,53.099,53.8,6,,-35.0,-21.83333333333333
long,D,169,64,69,77.585,80.794,84.896,4,,-12.833333333333329,-12.5
long,D,173,27,30,19.374000000000002,25.747,26.795,5,,-44.83333333333333,-35.5
long,D,174,32,36,36.824,48.292,50.265,3,,-8.5,-7.166666666666664
long,D,175,59,38,34.289,36.623000000000005,37.586999999999996,2,,-2.5,-15.666666666666664
