subID,factor_1_self_mean,factor_1_partner_mean,factor_1_self_var,factor_1_partner_var,avg_connection_self_mean,avg_connection_partner_mean,avg_connection_self_var,avg_connection_partner_var,mean_gap_convo_self_mean,mean_gap_convo_partner_mean,mean_gap_convo_self_var,mean_gap_convo_partner_var,median_gap_convo_self_mean,median_gap_convo_partner_mean,median_gap_convo_self_var,median_gap_convo_partner_var,mean_gap_speaker_self_mean,mean_gap_speaker_partner_mean,mean_gap_speaker_self_var,mean_gap_speaker_partner_var,median_gap_speaker_self_mean,median_gap_speaker_partner_mean,median_gap_speaker_self_var,median_gap_speaker_partner_var,mean_gap_partner_self_mean,mean_gap_partner_partner_mean,mean_gap_partner_self_var,mean_gap_partner_partner_var,median_gap_partner_self_mean,median_gap_partner_partner_mean,median_gap_partner_self_var,median_gap_partner_partner_var,factor_1_centered_self_mean,factor_1_centered_partner_mean,factor_1_centered_self_var,factor_1_centered_partner_var,avg_connection_centered_self_mean,avg_connection_centered_partner_mean,avg_connection_centered_self_var,avg_connection_centered_partner_var,mean_gap_convo_centered_self_mean,mean_gap_convo_centered_partner_mean,mean_gap_convo_centered_self_var,mean_gap_convo_centered_partner_var,median_gap_convo_centered_self_mean,median_gap_convo_centered_partner_mean,median_gap_convo_centered_self_var,median_gap_convo_centered_partner_var,mean_gap_speaker_centered_self_mean,mean_gap_speaker_centered_partner_mean,mean_gap_speaker_centered_self_var,mean_gap_speaker_centered_partner_var,median_gap_speaker_centered_self_mean,median_gap_speaker_centered_partner_mean,median_gap_speaker_centered_self_var,median_gap_speaker_centered_partner_var,mean_gap_partner_centered_self_mean,mean_gap_partner_centered_partner_mean,mean_gap_partner_centered_self_var,mean_gap_partner_centered_partner_var,median_gap_partner_centered_self_mean,median_gap_partner_centered_partner_mean,median_gap_partner_centered_self_var,median_gap_partner_centered_partner_var
42,-0.3314449084120445,-0.05489985651439082,0.5167870599761163,0.8578498296573147,51.832883333333335,52.33606666666667,57.09049535833333,520.6266449456791,386.7784289594645,386.7784289594645,50066.69959160424,50066.69959160424,322.0,322.0,11821.944444444445,11821.944444444445,368.5119169863691,405.95914814769105,40780.47247215227,66149.79099166703,287.55,350.6,9105.525000000001,12646.21111111111,405.95914814769105,368.5119169863691,66149.79099166703,40780.47247215227,350.6,287.55,12646.21111111111,9105.525000000001,-2.2204460492503132e-17,0.1327814228264827,0.5167870599761163,0.24569671012955416,0.0,-2.3816749999999987,57.09049535833333,71.04222976174385,-4.5474735088646414e-14,63.99639348626134,50066.69959160424,23993.40544403115,0.0,22.110000000000003,11821.944444444445,5602.242111111112,1.1368683772161604e-14,81.72088936647833,40780.47247215227,37591.79568771017,-1.1368683772161604e-14,48.07000000000001,9105.525000000001,7300.303444444445,1.1368683772161604e-14,48.01838132128857,66149.79099166705,16682.525266834225,-2.2737367544323207e-14,-8.674999999999994,12646.21111111111,3190.060694444445
43,0.0048639363976957116,0.09865731729274892,1.896750238850203,1.0117579019640592,51.005833333333335,61.630616666666675,607.3018761481483,455.9513278521606,331.650860807493,331.650860807493,17395.226744534568,17395.226744534568,305.15,305.15,8788.558333333332,8788.558333333332,333.5866315346062,329.47325782317824,18026.548374454967,21870.197413118163,319.7,288.9,11394.455555555556,9454.211111111112,329.47325782317824,333.5866315346062,21870.197413118163,18026.548374454967,288.9,319.7,9454.211111111112,11394.455555555556,4.4408920985006264e-17,0.31996948111459644,1.896750238850203,0.4508836392472077,-2.1316282072803005e-15,6.8301700000000025,607.3018761481483,102.69949739850625,-5.400124791776761e-14,3.3560685190926707,17395.22674453457,8089.475244197739,2.2737367544323207e-14,3.575,8788.558333333332,5310.341249999999,-8.526512829121202e-15,1.7424704967892637,18026.548374454964,10984.976760393682,1.1368683772161604e-14,-10.414999999999997,11394.455555555556,5768.507805555558,4.5474735088646414e-14,5.444506837074404,21870.197413118163,8829.782050054346,2.2737367544323207e-14,17.305,9454.211111111112,6753.513583333337
44,-0.5952033251663633,0.13403938907636329,0.9728570757865656,0.7896768521007538,59.06591666666666,58.62595,121.11704527932099,301.40699892623456,292.7094540753721,292.7094540753721,18751.876425295482,18751.876425295482,256.0,256.0,4279.777777777777,4279.777777777777,210.9700079751927,373.1917574756822,16115.200233080703,27829.778113593704,219.8,312.75,4494.233333333334,12066.791666666666,373.1917574756822,210.9700079751927,27829.778113593704,16115.200233080703,312.75,219.8,12066.791666666666,4494.233333333334,-4.4408920985006264e-17,0.29534482674180484,0.9728570757865656,0.21540746245673312,7.105427357601002e-15,4.6315116666666665,121.11704527932102,60.74076093031178,2.842170943040401e-14,-39.47947888624025,18751.87642529548,11257.481340277705,0.0,-50.489999999999995,4279.777777777777,2892.249888888889,2.842170943040401e-15,33.19930779335183,16115.200233080706,17550.918984018233,-1.1368683772161604e-14,3.4450000000000047,4494.233333333334,7468.551361111111,5.684341886080802e-15,-112.80026675708874,27829.778113593704,10828.850031104861,0.0,-80.21,12066.791666666666,2217.1121111111106
45,0.12259159179679846,0.11487927961662103,0.21897859827616556,0.5497574675442752,73.89226666666669,65.62469999999999,144.85426663703706,394.34148416543223,267.591727562795,267.591727562795,6376.3777697482765,6376.3777697482765,270.25,270.25,3046.2361111111113,3046.2361111111113,220.26106878034025,313.9733444161266,11304.487330115482,7067.43557208301,238.5,301.6,3343.777777777778,4593.655555555556,313.9733444161266,220.26106878034025,7067.43557208301,11304.487330115482,301.6,238.5,4593.655555555556,3343.777777777778,1.1102230246251566e-17,0.3479642089783788,0.21897859827616556,0.17159255061208573,-1.7053025658242404e-14,13.112896666666671,144.85426663703709,249.0586661793704,1.4210854715202004e-14,-67.10897805007512,6376.3777697482765,3450.6643923390184,0.0,-34.815,3046.2361111111113,3437.466138888889,-2.5579538487363607e-14,-25.089999185689,11304.487330115482,4096.119054349863,0.0,-5.834999999999996,3343.777777777778,5254.156694444445,5.684341886080802e-15,-109.43104725789676,7067.43557208301,4435.015554954898,-2.2737367544323207e-14,-62.62499999999998,4593.655555555555,3226.3329166666663
46,-1.0739437012972688,-1.5098265458900202,0.3127975169202542,1.1355866401059869,42.23416666666667,32.88646666666667,28.976801395061727,388.8455222024692,458.20638551462497,458.20638551462497,44208.9666532328,44208.9666532328,369.8,369.8,7307.844444444443,7307.844444444443,487.95877099235906,428.6098093519205,67943.53627613466,35858.94106089434,382.7,368.7,13074.511111111111,8725.955555555554,428.6098093519205,487.95877099235906,35858.94106089434,67943.53627613466,368.7,382.7,8725.955555555554,13074.511111111111,-8.881784197001253e-17,-1.396395145837669,0.3127975169202542,0.6943911894340684,-7.105427357601002e-16,-22.791146666666666,28.97680139506174,148.89443613881494,2.2737367544323207e-14,142.5671456969379,44208.9666532328,26337.64896029393,-1.1368683772161604e-14,74.69,7307.844444444443,3845.8498888888894,-2.842170943040401e-14,116.31623597130674,67943.53627613466,22171.874353543877,1.1368683772161604e-14,75.68500000000002,13074.511111111111,6327.905583333332,0.0,169.73030144770144,35858.94106089434,37993.08957434076,1.1368683772161604e-14,88.285,8725.955555555554,6236.606694444443
47,-0.6995829469836153,-0.8352587173131942,0.2987502195046545,0.71447617688515,41.736083333333326,45.62740000000001,343.73959497067904,499.12635179753096,355.5552011137954,355.5552011137954,22326.405804488444,22326.405804488444,301.05,301.05,6571.747222222221,6571.747222222221,396.8803197825463,313.51353773054433,37124.23145168889,18015.429619546558,309.65,276.15,10416.391666666666,8121.780555555557,313.51353773054433,396.8803197825463,18015.429619546558,37124.23145168889,276.15,309.65,8121.780555555557,10416.391666666666,8.326672684688674e-17,-0.6843912418294779,0.2987502195046545,0.516815613468271,7.460698725481052e-15,-10.100021666666667,343.73959497067904,236.37298729845983,6.821210263296962e-14,29.650842856025427,22326.40580448844,17003.399665420344,-1.1368683772161604e-14,-0.9349999999999966,6571.747222222222,5784.250583333333,2.2737367544323207e-14,-7.887880771050712,37124.23145168889,13951.027127458323,2.2737367544323207e-14,-24.169999999999998,10416.391666666666,6336.357888888891,-1.9895196601282804e-14,67.1422230757511,18015.429619546558,34724.55583584947,2.2737367544323207e-14,5.980000000000001,8121.780555555555,11458.426222222222
48,0.24609482133428587,-0.11536953278598785,0.6840353528369483,0.9819352065294829,53.95503333333333,53.11811666666667,441.08209190617276,662.5245901175927,304.0973136353124,304.0973136353124,9373.99334447618,9373.99334447618,306.15,306.15,4279.7249999999985,4279.7249999999985,322.453774473415,284.28852253460474,20944.538198845494,9076.974368273923,300.75,306.4,11064.680555555553,3870.9888888888913,284.28852253460474,322.453774473415,9076.974368273923,20944.538198845494,306.4,300.75,3870.9888888888913,11064.680555555553,2.2204460492503132e-17,0.13006571952951868,0.6840353528369484,0.44486762009130604,-3.552713678800501e-16,-1.3874099999999987,441.08209190617276,151.72329360482712,-1.1368683772161604e-14,-26.952833370305978,9373.99334447618,2656.8000557104824,2.2737367544323207e-14,4.675,4279.725,1232.969027777778,-3.410605131648481e-14,-44.55555049790341,20944.538198845497,9310.819534295182,0.0,5.190000000000003,11064.680555555553,2163.1843333333327,-8.526512829121202e-15,-10.206823752974168,9076.974368273924,4007.1768420158787,2.2737367544323207e-14,0.10500000000000113,3870.988888888889,2895.865805555555
49,0.714647757943644,0.4708613374101076,0.6850662045935146,0.24614294274150858,82.58956666666667,59.23666666666666,37.610072908642046,162.17254899382718,150.59425484045636,150.59425484045636,8848.408709152487,8848.408709152487,209.75,209.75,2235.402777777778,2235.402777777778,201.17101473921414,96.66512396810496,8152.540384740153,18350.170517475304,257.4,154.8,1237.5999999999997,5393.177777777778,96.66512396810496,201.17101473921414,18350.170517475304,8152.540384740153,154.8,257.4,5393.177777777778,1237.5999999999997,1.1102230246251566e-17,0.7631518833865499,0.6850662045935146,0.09458407857292239,0.0,7.594593333333336,37.61007290864199,38.736148144518545,-2.842170943040401e-15,-195.80619804464763,8848.408709152487,15466.707379926982,0.0,-101.365,2235.402777777778,4086.333916666666,-1.1368683772161604e-14,-244.30722503782326,8152.540384740153,19152.951156563675,2.2737367544323207e-14,-150.745,1237.6,5314.524694444444,-4.263256414560601e-15,-150.251923343825,18350.170517475304,16667.052943082144,-1.1368683772161604e-14,-58.404999999999994,5393.177777777778,3251.4980277777777
50,0.4109617378074274,0.17440097617796219,0.8625125432166616,0.43476258105722515,72.18403333333333,58.76266666666667,505.5318587271607,397.599046617284,329.3356319356465,329.3356319356465,2219.8564183166945,2219.8564183166945,334.25,334.25,1282.0138888888885,1282.0138888888885,341.0575607413484,317.7016627558256,7013.239698703923,3635.4934524244823,357.0,311.55,2753.5,2403.9694444444444,317.7016627558256,341.0575607413484,3635.4934524244823,7013.239698703923,311.55,357.0,2403.9694444444444,2753.5,-5.551115123125783e-17,0.4363229201407829,0.8625125432166618,0.1869427249996923,4.263256414560601e-15,6.08004,505.5318587271607,120.61000671019752,0.0,0.8093167600615743,2219.856418316695,7002.41513714243,0.0,35.585,1282.013888888889,1365.890583333333,8.526512829121202e-15,-9.282031649889149,7013.239698703922,6678.357631106264,0.0,15.965000000000003,2753.5,1554.424472222222,3.410605131648481e-14,11.738276537081358,3635.493452424486,12630.09255309115,-1.1368683772161604e-14,56.870000000000005,2403.9694444444444,3415.543444444445
60,0.5955597573537867,0.25160449160389536,0.7676573687707728,0.47951114058969374,71.58792592592592,61.26525925925926,118.97576438966045,322.28913756327165,250.61751122841957,250.61751122841957,10171.493047548076,10171.493047548076,248.44444444444446,248.44444444444446,5159.965277777777,5159.965277777777,282.4320848196022,218.99425809820647,11910.777056933943,14352.05717385162,264.44444444444446,228.27777777777777,3764.7777777777774,9554.006944444445,218.99425809820647,282.4320848196022,14352.05717385162,11910.777056933943,228.27777777777777,264.44444444444446,9554.006944444445,3764.7777777777774,-8.635067969306773e-17,0.3758840168100599,0.7676573687707731,0.5009068683311398,8.68441121484567e-15,4.390300000000002,118.97576438966044,105.56160801309414,-4.7369515717340014e-14,28.956928579408547,10171.493047548078,8106.750785920069,-1.2631870857957336e-14,-1.4555555555555613,5159.965277777777,2723.7632175925924,-2.842170943040401e-14,-2.0294026659319937,11910.777056933941,12274.280214362594,-1.2631870857957336e-14,-19.535802469135806,3764.777777777778,3427.3612817215367,9.473903143468002e-15,59.73579323080158,14352.05717385162,7007.887252633324,6.315935428978668e-15,17.32407407407407,9554.006944444445,4976.633078703704
61,-0.7533981675141179,0.12805212286623716,1.2262862922089561,1.2659486077924171,58.055933333333336,57.60945,339.1134219395061,736.4704242348765,90.10475893623084,90.10475893623084,47719.11448777895,47719.11448777895,144.0,144.0,30139.277777777777,30139.277777777777,108.54601891339583,71.81177684908309,29172.746681666868,82158.7030846304,171.2,112.75,11309.400000000001,54369.569444444445,71.81177684908309,108.54601891339583,82158.7030846304,29172.746681666868,112.75,171.2,54369.569444444445,11309.400000000001,-4.4408920985006264e-17,0.03740468219916533,1.2262862922089561,0.7186901720863829,-1.4210854715202005e-15,-1.3074492592592566,339.1134219395062,373.27550908488894,-2.842170943040401e-15,-123.58621126121879,47719.11448777894,12497.090162467146,0.0,-99.81444444444446,30139.277777777777,10137.4269218107,-5.684341886080802e-15,-139.1811508014201,29172.746681666868,23344.649279533234,1.1368683772161604e-14,-126.12666666666667,11309.400000000001,16962.770368998623,1.1368683772161604e-14,-108.18213544524217,82158.70308463038,11620.159350307345,0.0,-74.68111111111111,54369.569444444445,6937.415783264747
62,-0.11278965885201273,-0.3898539969828881,0.1440583203966011,0.6687623636785354,51.4465925925926,54.382074074074076,30.569241347993838,211.55461104243827,256.05284626429227,256.05284626429227,17573.54481922774,17573.54481922774,255.5,255.5,7980.875,7980.875,187.76912809580938,324.24660712883696,20237.960915978147,32857.87438346725,218.0,285.27777777777777,3698.25,26050.381944444445,324.24660712883696,187.76912809580938,32857.87438346725,20237.960915978147,285.27777777777777,218.0,26050.381944444445,3698.25,6.1679056923619804e-18,-0.34427996246625686,0.14405832039660108,0.38972559981968075,-8.68441121484567e-15,-4.730811111111109,30.56924134799383,46.778657701751534,1.578983857244667e-14,34.99618973037826,17573.54481922774,3930.0569052480387,0.0,6.3839506172839435,7980.875,1048.5506747256513,3.157967714489334e-15,92.70484006205483,20237.960915978147,7884.145053707808,0.0,32.30370370370369,3698.2500000000005,4439.784344135803,-6.315935428978668e-15,-23.232458045143378,32857.87438346725,7583.436720177667,6.315935428978668e-15,-22.78703703703704,26050.381944444445,751.7793749999998
