subID,partnerID,num_turns_convo,num_turns_speaker,mean_gap_convo,median_gap_convo,mean_gap_speaker,median_gap_speaker,mean_gap_partner,median_gap_partner
82,86,213.0,107.0,284.18779342723,240.0,241.5607476635514,172.0,327.2169811320755,292.5
3,2,122.0,61.0,-92.75409836065573,100.5,40.42622950819672,197.0,-225.9344262295082,83.0
2,3,122.0,61.0,-92.75409836065573,100.5,-225.9344262295082,83.0,40.42622950819672,197.0
108,105,125.0,63.0,422.544,328.0,403.1904761904762,376.0,442.2096774193548,284.5
105,108,125.0,62.0,422.544,328.0,442.2096774193548,284.5,403.1904761904762,376.0
61,69,87.0,44.0,419.4942528735632,436.0,283.97727272727275,181.0,558.1627906976744,505.0
69,61,87.0,43.0,419.4942528735632,436.0,558.1627906976744,505.0,283.97727272727275,181.0
1,2,251.0,125.0,182.70916334661354,212.0,192.856,241.0,172.64285714285714,182.5
2,1,251.0,126.0,182.70916334661354,212.0,172.64285714285714,182.5,192.856,241.0
90,84,116.0,59.0,162.06034482758622,208.0,111.40677966101696,147.0,214.49122807017545,300.0
84,90,116.0,57.0,162.06034482758622,208.0,214.49122807017545,300.0,111.40677966101696,147.0
27,28,154.0,78.0,337.2012987012987,310.0,313.71794871794873,313.5,361.30263157894734,308.0
28,27,154.0,76.0,337.2012987012987,310.0,361.30263157894734,308.0,313.71794871794873,313.5
49,40,167.0,84.0,161.8443113772455,168.0,210.08333333333334,199.5,113.02409638554217,116.0
40,49,167.0,83.0,161.8443113772455,168.0,113.02409638554217,116.0,210.08333333333334,199.5
81,80,171.0,86.0,241.76023391812865,169.0,164.74418604651163,215.5,319.6823529411765,135.0
80,81,171.0,85.0,241.76023391812865,169.0,319.6823529411765,135.0,164.74418604651163,215.5
109,104,98.0,50.0,350.7142857142857,297.5,330.94,308.0,371.3125,286.5
104,109,98.0,48.0,350.7142857142857,297.5,371.3125,286.5,330.94,308.0
49,50,94.0,48.0,293.63829787234044,270.0,289.5,256.0,297.95652173913044,277.5
50,49,94.0,46.0,293.63829787234044,270.0,297.95652173913044,277.5,289.5,256.0
5,6,72.0,37.0,308.4861111111111,341.0,278.81081081081084,418.0,339.85714285714283,304.0
6,5,72.0,35.0,308.4861111111111,341.0,339.85714285714283,304.0,278.81081081081084,418.0
110,101,199.0,100.0,571.6130653266332,451.0,591.48,510.0,551.5454545454545,429.0
101,110,199.0,99.0,571.6130653266332,451.0,551.5454545454545,429.0,591.48,510.0
100,101,162.0,82.0,353.3333333333333,300.5,337.6341463414634,307.0,369.425,299.0
101,100,162.0,80.0,353.3333333333333,300.5,369.425,299.0,337.6341463414634,307.0
42,49,93.0,47.0,-16.086021505376344,125.0,-65.68085106382979,77.0,34.58695652173913,239.0
49,42,93.0,46.0,-16.086021505376344,125.0,34.58695652173913,239.0,-65.68085106382979,77.0
40,45,179.0,91.0,258.62011173184356,197.0,315.3626373626374,237.0,199.9431818181818,167.5
45,40,179.0,88.0,258.62011173184356,197.0,199.9431818181818,167.5,315.3626373626374,237.0
48,42,69.0,34.0,418.04347826086956,330.0,452.2647058823529,373.0,384.8,312.0
42,48,69.0,35.0,418.04347826086956,330.0,384.8,312.0,452.2647058823529,373.0
105,101,204.0,102.0,533.2303921568628,331.5,471.95098039215685,245.5,594.5098039215686,412.5
101,105,204.0,102.0,533.2303921568628,331.5,594.5098039215686,412.5,471.95098039215685,245.5
7,5,136.0,68.0,352.81617647058823,338.5,254.97058823529412,257.0,450.6617647058824,419.0
5,7,136.0,68.0,352.81617647058823,338.5,450.6617647058824,419.0,254.97058823529412,257.0
82,85,185.0,93.0,341.0324324324324,276.0,208.01075268817203,146.0,475.5,480.5
85,82,185.0,92.0,341.0324324324324,276.0,475.5,480.5,208.01075268817203,146.0
104,108,228.0,114.0,78.53508771929825,108.5,-3.8684210526315788,74.5,160.93859649122808,138.5
