subID,partnerID,convo_flow,convo_enjoy,speak,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,friends_years,friends_years_extended,friends_talk,friends_nature,gender,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6
216,4,100,100,62,100,84,100,27,74,100,81,78,100,75,98,90,2.1,,41,67,1,0.32432911306101964,1.142366229133826,-1.1940897522462368,1.0018758014720481,0.16283766571039338,1.0409425228111666
217,63,76,51,51,57,17,73,0,100,63,63,100,64,40,52,74,0.3,,50,42,1,-1.3139604192683942,-1.4404356412079085,-0.8373660223885878,-0.01786454958726246,1.3946117826126059,0.6678457535707195
63,217,96,100,71,48,38,84,70,46,80,2,95,84,81,12,98,0.2,,50,57,1,1.2486827932822024,-1.5513484206632224,-0.6072279392622814,0.5623501507581808,-1.2407659895547973,-1.9315015722866524
218,63,100,100,51,100,79,88,0,88,100,90,98,88,100,95,99,2.1,,55,84,1,0.7480260475474413,0.8348925217268833,-0.13848803224192494,0.5592607393091872,0.7481875107303172,1.2183200031799715
63,218,95,83,54,75,58,87,80,51,49,30,78,100,63,72,86,1.8,,67,81,1,-0.24693274236818216,-0.8107326145869732,0.421019861989983,1.1123459654484562,-1.234190464330046,-0.5131308503091007
110,219,79,87,71,80,76,66,0,63,75,29,66,65,63,30,67,0.7,,100,67,2,-0.8212901268842515,0.33524609525932136,-0.37836787319454335,0.3249234330456155,-0.2573876633660483,-0.8351813133065581
219,110,88,89,48,75,54,67,12,73,82,65,91,76,78,41,86,0.7,,100,66,2,0.16778201455814035,-0.46488365772213486,-0.5671617117830464,0.14119882587037363,0.3233798230300601,0.18203589415314314
110,220,69,71,69,66,82,73,0,82,82,81,94,64,64,34,71,0.6,,100,53,2,-0.9839406364610327,-0.16249157947004012,-1.0388124459036505,0.11894454652756511,0.8615801901935226,0.7998387519266494
220,110,100,100,51,90,90,90,10,83,84,67,87,85,84,68,89,0.5,,100,74,2,0.4720388950915175,0.2682052268708467,-0.6149869418148034,0.5789036692620098,0.3647084504779799,0.4896645597128155
110,221,26,25,78,36,39,68,0,12,33,25,33,60,41,58,35,0.7,,75,44,2,-4.130893938960604,-0.972457966371093,-0.8153759337574635,1.0338866666892115,-1.307553773425129,-0.03721403674072035
221,110,100,100,34,88,76,54,0,100,100,79,100,77,100,75,100,0.7,,100,81,2,0.8789092312992405,0.10374746800651391,0.06714158527020325,0.10548967417001197,1.3145773961748686,0.8873018420189819
5,222,92,94,50,98,97,100,25,50,86,83,100,50,76,40,99,2.3,,51,79,1,0.5123804112232334,1.093848311950204,-0.1649504231117409,-1.2266004130223582,-0.7558688491820933,0.39347916717673737
222,5,91,100,64,88,74,84,2,100,100,30,95,93,94,28,99,2.0,,27,69,1,0.7937427803372589,0.5138294954133905,-0.36265395641593773,0.8070887410303215,1.1162391531346891,-1.049049373704125
5,223,85,86,67,99,99,94,4,68,96,6,97,64,84,71,100,3.0,,96,91,1,0.11236546666365925,1.2011127026599713,0.329271992438193,0.2580872190917642,-0.2542450922603583,-0.8513098194048785
223,5,96,100,58,88,70,85,7,65,66,27,77,74,80,23,88,1.9,,85,73,1,0.40302256462151204,0.0009345909876270939,-0.6404558437191478,0.3092284209143348,-0.4614679850869823,-1.1900226047839702
63,224,91,79,25,47,28,63,27,30,63,94,92,41,51,39,80,0.2,,50,43,1,0.03872192665006579,-1.5402019951383437,-1.4145775656373747,-1.66747049057174,-1.0009445658511027,0.8027006238944583
224,63,91,91,55,62,39,71,13,85,92,37,86,77,71,85,100,0.5,,68,34,2,0.6136418539761658,-1.0345458358584216,-2.6419718559212355,0.7866159093602662,0.6681072540916466,0.3300263128267999
49,225,85,83,82,87,85,62,0,41,72,90,100,63,52,41,100,4.0,,100,90,2,-0.17040113780372043,0.272320429426657,0.8366312491072985,-0.4587436945961089,-1.3250625501767002,0.5308413183823528
225,49,78,70,35,89,47,69,0,100,71,20,100,44,46,37,100,4.1,,100,82,2,-0.507884171847849,-0.11125745493342443,0.5328664669497758,-1.0626980334226794,0.9888596479667633,-0.7903983013658216
49,226,100,74,100,100,100,50,0,30,70,3,100,100,57,79,100,4.0,,100,90,2,-0.2705752059967773,0.652174512627318,0.6132377906292505,1.6604592231509439,-1.982621174839124,-1.0464364492669782
226,49,99,99,7,94,65,82,0,97,95,2,98,94,91,5,97,3.6,,100,100,2,0.9322406251405633,0.3960117061629117,0.9970807515604729,-0.17105533491294622,1.3063629673890655,-2.200784703639083
227,86,89,88,67,97,96,98,10,93,90,33,80,78,77,49,77,2.4,,100,100,2,-0.5148038856637496,1.1479093063808343,1.2293206851279441,0.5179307263162596,0.6368370564652506,-0.6858756609300924
86,227,96,86,51,86,88,87,9,100,88,73,94,87,76,66,100,2.6,,72,88,2,0.14528369848967265,0.26370661116093647,0.697101185958377,0.35298373667182437,1.03502333601487,0.5206340804641111
5,228,85,87,69,94,80,78,1,78,94,80,100,56,80,90,100,3.0,,80,91,1,0.030753918631542514,0.7721276540524642,0.6225979542908265,-0.21248598665423551,0.1561962491875262,1.0971556684637465
228,5,95,97,51,68,43,77,36,62,89,100,100,68,71,100,93,1.8,,40,80,1,0.5818526381697996,-0.5064477628630571,0.4346026486439848,-0.3962394258197023,-0.406694379456879,1.4188020316781773
50,229,100,100,50,77,78,49,18,74,76,51,100,100,80,44,100,1.0,,94,76,2,0.8729203170752229,-0.64753169253808,0.13913918562753677,0.7761838637580266,-0.02299342350527468,-0.34575390816754675
229,50,98,90,53,90,67,68,0,95,96,47,92,85,82,63,95,0.7,,81,49,2,0.479106930703553,0.1648999460706062,-1.9529048997284402,0.8274575512707902,1.153893908374478,0.20767801545588477
50,230,100,100,89,98,100,52,39,88,80,48,100,100,100,52,100,5.0,19,100,100,2,0.615002952572768,0.4529503335624057,0.6480339104891262,1.6113921174792671,0.14289169178732505,-0.4512463865477045
