subID,partnerID,num_turns_convo,num_turns_speaker,mean_gap_convo,median_gap_convo,mean_gap_speaker,median_gap_speaker,mean_gap_partner,median_gap_partner
68,264,157.0,78.0,-117.4140127388535,10.0,-238.1153846153846,-32.5,1.759493670886076,66.0
226,49,107.0,52.0,184.05607476635515,212.0,19.46153846153846,165.5,339.6727272727273,232.0
49,226,107.0,55.0,184.05607476635515,212.0,339.6727272727273,232.0,19.46153846153846,165.5
50,231,116.0,59.0,429.57758620689657,347.0,398.5593220338983,311.0,461.6842105263158,423.0
231,50,116.0,57.0,429.57758620689657,347.0,461.6842105263158,423.0,398.5593220338983,311.0
48,232,179.0,90.0,348.6703910614525,317.0,389.1777777777778,315.0,307.70786516853934,317.0
232,48,179.0,89.0,348.6703910614525,317.0,307.70786516853934,317.0,389.1777777777778,315.0
245,30,123.0,62.0,184.46341463414635,166.0,135.6451612903226,90.5,234.08196721311475,209.0
30,245,123.0,61.0,184.46341463414635,166.0,234.08196721311475,209.0,135.6451612903226,90.5
85,261,171.0,86.0,491.7953216374269,318.0,459.33720930232556,280.0,524.635294117647,485.0
261,85,171.0,85.0,491.7953216374269,318.0,524.635294117647,485.0,459.33720930232556,280.0
263,68,124.0,62.0,-29.06451612903226,49.5,2.096774193548387,60.5,-60.225806451612904,49.0
68,263,124.0,62.0,-29.06451612903226,49.5,-60.225806451612904,49.0,2.096774193548387,60.5
68,262,100.0,50.0,6.54,144.5,189.94,193.5,-176.86,95.0
262,68,100.0,50.0,6.54,144.5,-176.86,95.0,189.94,193.5
5,223,104.0,52.0,344.1730769230769,334.0,319.65384615384613,353.0,368.6923076923077,321.5
223,5,104.0,52.0,344.1730769230769,334.0,368.6923076923077,321.5,319.65384615384613,353.0
237,29,130.0,62.0,194.69230769230768,189.0,158.1451612903226,222.5,228.01470588235293,174.5
29,237,130.0,68.0,194.69230769230768,189.0,228.01470588235293,174.5,158.1451612903226,222.5
23,254,179.0,90.0,278.7374301675978,120.0,419.96666666666664,174.5,135.92134831460675,74.0
254,23,179.0,89.0,278.7374301675978,120.0,135.92134831460675,74.0,419.96666666666664,174.5
5,222,121.0,60.0,703.2561983471074,546.0,725.5333333333333,581.5,681.344262295082,462.0
222,5,121.0,61.0,703.2561983471074,546.0,681.344262295082,462.0,725.5333333333333,581.5
203,101,161.0,81.0,492.0745341614907,341.0,572.074074074074,429.0,411.075,285.0
101,203,161.0,80.0,492.0745341614907,341.0,411.075,285.0,572.074074074074,429.0
247,66,184.0,92.0,603.1304347826087,392.0,536.6304347826087,367.0,669.6304347826087,449.5
66,247,184.0,92.0,603.1304347826087,392.0,669.6304347826087,449.5,536.6304347826087,367.0
11,248,148.0,71.0,400.2972972972973,369.5,306.2535211267606,229.0,487.012987012987,495.0
248,11,148.0,77.0,400.2972972972973,369.5,487.012987012987,495.0,306.2535211267606,229.0
110,221,239.0,121.0,550.0,385.0,533.9504132231405,428.0,566.457627118644,330.5
221,110,239.0,118.0,550.0,385.0,566.457627118644,330.5,533.9504132231405,428.0
257,23,186.0,94.0,508.8817204301075,309.5,426.8404255319149,279.0,592.7065217391304,317.5
23,257,186.0,92.0,508.8817204301075,309.5,592.7065217391304,317.5,426.8404255319149,279.0
110,220,228.0,112.0,304.61842105263156,219.0,251.96428571428572,155.0,355.4568965517241,297.0
220,110,228.0,116.0,304.61842105263156,219.0,355.4568965517241,297.0,251.96428571428572,155.0
250,66,145.0,73.0,324.4689655172414,297.0,275.4657534246575,278.0,374.15277777777777,314.0
66,250,145.0,72.0,324.4689655172414,297.0,374.15277777777777,314.0,275.4657534246575,278.0
110,219,211.0,106.0,317.8009478672986,225.0,251.6320754716981,151.5,384.6,289.0
219,110,211.0,105.0,317.8009478672986,225.0,384.6,289.0,251.6320754716981,151.5
107,259,146.0,74.0,372.32876712328766,163.5,520.5,195.5,220.04166666666666,81.0
259,107,146.0,72.0,372.32876712328766,163.5,220.04166666666666,81.0,520.5,195.5
201,25,171.0,86.0,194.30409356725147,177.0,224.62790697674419,180.0,163.6235294117647,177.0
25,201,171.0,85.0,194.30409356725147,177.0,163.6235294117647,177.0,224.62790697674419,180.0
