video_name,S1,S2,Left,Right
89_81,81,89,,
89_82,82,89,,
89_84,89,84,,
89_85,89,85,,
89_86,89,86,,
89_87,89,87,,
89_90,90,89,,
9_10,9,10,10,9
9_11,9,11,11,9
9_4,9,4,4,9
9_6,9,6,9,6
90_82,82,90,,
90_83,90,83,,
90_84,90,84,,
90_87,87,90,,
