condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,B,113,68,79,33.026,38.766,39.296,4,good
long,B,114,70,63,6.246,14.132,34.186,2,
long,B,115,62,61,15.637,38.151,42.385,4,GOOD
long,B,121,63,64,31.72,33.024,33.893,2,
long,B,123,95,84,40.344,41.853,46.628,3,nice
long,B,125,80,61,20.664,25.897,62.831,2,
long,B,128,78,84,2.693,5.081,75.199,3,nice
long,B,129,66,30,1.856,19.599,25.851,5,
long,B,131,77,75,4.057,6.191,36.388,3,nice voice
long,B,134,97,81,20.627,36.253,37.548,6,
long,B,139,100,99,18.131,24.608,71.164,4,GOOD
long,B,141,35,35,29.403,67.829,88.803,4,"I felt like they both got a bit defensive, especially the girl naming all the sloane's. "
long,B,144,44,27,16.606,27.05,27.636,4,
long,B,149,63,12,35.235,40.091,42.947,2,
long,B,152,100,93,18.885,22.925,24.093,4,
long,B,155,70,97,2.554,3.988,26.454,3,
long,B,159,100,99,15.399,22.113,27.412,5,good
long,B,162,70,32,20.874,28.541,30.592,3,
long,B,167,64,64,8.983,27.889,32.024,3,
long,B,169,91,96,35.808,39.327,40.545,5,
long,B,172,74,58,11.096,25.792,28.275,6,
long,B,176,89,89,35.708,42.141,46.603,3,Good
long,B,178,63,49,29.231,30.751,33.138,2,
long,B,180,30,41,21.481,33.533,35.319,3,
long,B,188,65,70,44.874,49.966,50.832,3,
long,B,190,73,38,171.249,176.162,177.199,3,
long,B,191,70,90,3.293,9.493,75.02,2,
long,B,198,73,88,29.936,31.584,32.656,7,
long,B,201,57,57,20.855,25.182,25.825,2,
long,B,203,55,33,30.78,36.964,40.611,2,
long,B,206,93,100,21.405,27.328,64.593,4,Good
long,B,209,42,32,29.093,30.949,31.902,2,
long,B,213,87,86,2.756,7.3,11.52,5,none
long,B,215,90,95,13.178,39.079,62.972,4,clear audio
long,B,218,58,45,21.787,30.671,31.446,2,
long,B,221,58,58,38.693,41.848,48.585,3,good
long,B,223,78,76,49.167,56.175,62.959,3,Good
long,B,225,100,100,50.753,53.35,71.509,3,The voices are low even with the volume turned up...different from the test sample
long,B,228,35,38,17.322,20.018,29.175,2,
long,B,235,84,82,44.301,57.673,61.44,3,
long,B,237,57,43,27.89,30.277,30.842,2,
long,B,238,58,65,20.714,28.871,29.388,3,
long,B,241,53,45,27.781,29.571,30.573,2,
long,B,245,75,73,32.222,38.484,47.177,4,I think it was a good conversation. 
long,B,247,30,35,16.68,23.309,25.671,2,
long,B,249,93,91,12.395,20.257,36.501,5,good to movement on audio
long,B,254,99,96,8.275,14.546,34.006,4,good
long,B,255,56,56,25.486,34.071,35.927,4,
long,B,258,75,88,19.442,28.531,46.472,4,they both connected each other .
long,B,262,89,96,17.505,19.736,33.117,4,
long,B,263,88,95,3.945,8.199,34.292,3,Good.
long,B,264,94,90,20.434,321.526,333.641,9,good
long,B,267,87,36,33.945,40.008,42.452,2,
long,B,271,100,95,9.372,12.142,14.064,2,
long,B,277,90,70,39.383,74.038,77.145,6,
long,B,280,69,64,1.196,31.698,32.77,6,
long,B,281,67,63,33.142,34.904,36.179,2,
long,B,282,100,100,10.093,13.35,29.566,2,
long,B,289,80,68,2.866,6.075,6.848,4,
long,B,290,48,11,105.444,113.068,114.424,4,
long,B,292,76,90,32.094,37.486,40.667,2,
long,B,293,45,16,102.244,105.057,106.677,2,
long,B,294,47,48,63.89,81.94,83.257,6,they are kind of annoyed by each other
long,B,296,60,16,18.145,28.927,29.881,4,
long,B,297,49,34,30.376,38.785,40.968,3,
long,B,298,61,69,1.068,40.284,43.128,15,
long,B,303,84,69,12.558,16.792,25.466,2,
long,B,308,89,66,21.315,37.124,39.884,2,
long,B,312,51,37,23.021,26.09,27.515,3,
long,B,313,62,53,18.438,21.37,26.39,2,
long,B,315,77,51,29.164,33.191,35.655,5,funny
long,B,321,66,58,40.104,40.836,41.618,2,
long,B,325,65,87,6.794,7.738,36.737,2,
long,B,327,51,51,36.412,37.121,37.9,2,
long,B,328,82,63,11.489,16.232,17.801,4,
long,B,331,28,28,30.335,32.698,33.88,2,
long,B,332,25,32,39.185,41.993,43.184,4,
long,B,334,62,59,23.185,24.181,26.845,2,
long,B,344,79,59,72.276,75.018,76.626,2,
long,B,345,75,75,20.246,28.908,35.377,7,GOOD
long,B,350,85,95,26.84,29.287,30.7,2,
long,B,351,68,62,54.317,55.154,56.755,2,
long,B,353,48,28,24.923,30.353,31.672,2,
long,B,354,79,88,30.344,35.204,39.786,4,good
