turn_num,speaker,turn_start,turn_end,gap_length,turn_start_msec,turn_end_msec,number_of_words
56,S1,03:19.282,03:19.974,112.0,199282.0,199974.0,2.0
57,S2,03:20.233,03:22.443,259.0,200233.0,202443.0,4.0
58,S1,03:22.104,03:24.674,-339.0,202104.0,204674.0,9.0
59,S2,03:25.143,03:29.477,469.0,205143.0,209477.0,19.0
60,S1,03:30.282,03:38.766,805.0,210282.0,218766.0,32.0
61,S2,03:38.957,03:40.155,191.0,218957.0,220155.0,7.0
62,S1,03:41.050,03:45.099,895.0,221050.0,225099.0,3.0
63,S2,03:45.214,03:46.017,115.0,225214.0,226017.0,4.0
64,S1,03:46.943,03:56.577,926.0,226943.0,236577.0,25.0
65,S2,03:56.882,03:58.932,305.0,236882.0,238932.0,11.0
66,S1,03:59.199,03:59.308,267.0,239199.0,239308.0,1.0
67,S2,03:59.295,04:01.873,-13.0,239295.0,241873.0,12.0
68,S1,04:02.767,04:03.678,894.0,242767.0,243678.0,5.0
69,S2,04:04.016,04:05.706,338.0,244016.0,245706.0,8.0
70,S1,04:06.621,04:07.633,915.0,246621.0,247633.0,7.0
71,S2,04:07.957,04:08.768,324.0,247957.0,248768.0,4.0
72,S1,04:09.017,04:10.611,249.0,249017.0,250611.0,9.0
73,S2,04:11.882,04:13.500,1271.0,251882.0,253500.0,11.0
74,S1,04:14.562,04:33.959,1062.0,254562.0,273959.0,61.0
