subID,partnerID,convo_flow,convo_enjoy,speak,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,friends_years,friends_years_extended,friends_talk,friends_nature,gender
107,233,100,100,54,82,87,84,17,100,100,100,100,100,100,100,100,0.7,,77,81,2
107,234,81,77,51,89,75,100,74,34,74,77,82,32,60,81,91,1,,86,100,2
234,107,100,84,50,31,14,96,77,100,76,64,100,95,75,66,100,1,,87,93,1
8,235,89,90,19,100,99,100,12,89,84,34,100,86,79,24,100,1,,100,85,1
235,8,91,92,78,90,93,92,53,33,83,65,98,77,75,70,97,2,,100,71,1
48,236,100,100,36,100,100,100,76,85,100,77,100,68,72,69,100,2.5,,100,100,2
236,48,100,100,48,100,92,50,0,80,100,10,100,63,82,23,100,3,,100,100,2
29,237,80,87,59,85,84,76,0,73,86,66,68,66,70,67,71,3,,78,81,1
237,29,87,94,74,92,95,100,51,40,87,63,68,85,41,64,61,3,,76,79,1
29,238,86,83,36,82,82,79,0,82,84,62,85,76,75,39,67,2,,63,69,1
238,29,100,100,54,79,59,100,0,52,100,0,100,51,90,0,100,3,,50,67,1
86,239,73,83,30,81,78,74,0,68,71,73,100,68,69,65,100,2,,91,93,2
239,86,97,96,71,100,97,95,0,73,82,36,100,100,76,100,100,2.6,,100,100,2
11,240,93,100,31,87,74,78,6,61,100,88,90,42,89,86,90,3,,71,67,1
240,11,89,89,51,78,73,92,2,65,85,39,89,47,65,68,95,1.8,,75,68,1
11,241,99,100,50,94,22,90,0,50,100,100,94,60,76,94,100,3,,64,67,1
241,11,74,77,59,56,40,72,0,64,57,58,61,57,53,56,76,2.5,,72,63,1
29,242,64,74,47,75,76,77,0,78,80,65,75,70,61,84,78,3,,74,85,1
242,29,55,64,76,81,60,65,46,44,63,56,53,82,58,60,72,2.5,,73,79,1
8,243,67,65,46,73,62,66,20,95,61,65,52,60,61,58,79,1,,100,81,1
243,8,83,100,61,100,100,100,9,66,100,58,100,93,100,62,100,3,,100,95,1
8,244,100,100,65,86,67,100,19,99,97,95,100,87,95,84,100,3,,100,94,1
244,8,92,99,51,93,77,100,8,70,100,22,100,74,75,27,100,3,,89,94,1
245,30,100,100,50,69,39,34,7,100,100,72,100,100,100,31,100,1,,100,69,2
30,245,98,100,72,96,95,83,72,95,96,36,94,98,95,68,95,1,,91,87,1
44,246,98,96,41,88,46,53,7,53,98,72,75,64,73,56,95,1.7,,100,71,2
246,44,67,65,49,35,26,59,0,79,62,63,74,43,45,37,90,1.6,,98,51,2
247,66,81,80,61,100,82,87,85,33,67,41,76,75,62,25,75,2,,98,96,2
66,247,65,100,37,100,67,53,56,68,77,63,100,42,56,38,100,2.4,,100,100,1
11,248,75,68,28,76,89,78,0,51,73,39,50,30,31,17,51,1,,43,39,1
248,11,62,67,96,68,35,70,59,54,64,64,80,71,65,89,78,3,,59,67,2
66,249,100,100,50,100,100,100,0,37,100,80,100,53,100,39,100,2.8,,3,66,1
249,66,94,94,52,81,60,83,0,37,85,18,84,60,45,25,73,3,,14,33,1
66,250,100,100,51,63,37,100,0,77,100,66,100,76,100,84,100,2,,1,67,1
250,66,93,92,59,52,49,59,0,52,61,35,98,64,66,14,96,1.8,,15,46,1
86,251,100,100,53,95,80,86,0,79,96,81,100,73,81,70,100,2.5,,60,93,2
251,86,98,100,60,100,12,93,0,87,90,21,98,79,81,22,98,3.1,,100,95,2
44,252,91,91,45,89,46,53,9,55,81,80,75,49,59,42,91,1.6,,66,82,2
252,44,84,84,46,64,70,50,30,58,62,44,84,55,51,73,83,1.2,,73,71,2
44,253,100,99,49,43,46,59,42,73,74,57,77,61,65,56,91,1.7,,59,59,2
253,44,94,78,58,77,63,53,49,63,65,53,99,70,65,66,99,2,,74,58,1
23,254,100,88,51,85,100,100,50,100,100,18,87,100,90,34,100,1,,100,100,1
254,23,99,100,39,91,93,100,86,12,99,95,100,38,81,72,100,1.5,,100,86,1
85,255,92,100,51,92,88,89,12,90,100,60,100,91,75,30,100,1.7,,94,79,2
255,85,85,87,54,75,76,57,19,74,80,73,88,87,87,60,97,1.2,,100,69,2
85,256,81,91,51,93,83,97,77,89,96,11,83,56,70,5,91,5,I've known her for 7 years,84,93,2
256,85,70,71,54,61,46,62,41,77,73,58,73,73,70,61,75,5,ABOUT 7/8 YEARS,84,83,1
