subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,knew_before_text,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,length_self,length_partner,convo_order,round_robin_num
103,101,95,87,71,64,0,,68,69,68,54,0,31,70,61,73,59,56,42,86,59,59,8,6
103,105,12,28,54,80,0,,20,38,60,63,0,25,33,12,38,31,15,42,55,27,30,9,6
103,100,98,86,60,52,0,,57,64,72,60,0,58,75,38,64,37,58,41,95,55,55,10,6
104,106,34,70,63,62,0,,40,53,29,36,0,36,48,65,65,57,45,35,61,46,48,1,6
104,102,60,65,70,68,5,Same trip section,36,36,62,46,0,53,63,20,65,59,55,11,70,69,69,2,6
104,109,68,89,59,12,0,,42,7,4,18,0,4,93,70,55,38,44,21,92,85,65,3,6
104,103,59,61,54,67,0,,45,36,47,46,0,55,61,16,55,67,60,75,68,65,69,5,6
104,110,88,93,90,57,0,,58,53,82,58,0,76,77,41,76,75,67,38,95,93,91,6,6
104,107,90,90,92,49,0,,53,49,56,53,0,78,82,34,85,81,75,38,83,88,90,7,6
104,100,78,78,74,51,0,,45,87,67,66,0,78,62,32,70,69,59,28,97,96,95,8,6
104,108,73,78,80,51,3,I met him through this study when we were supposed to do our conversation the first time,52,37,64,52,0,69,69,15,76,66,69,21,69,72,73,9,6
104,105,18,22,29,85,0,,16,10,11,53,0,14,14,12,12,61,48,10,11,11,11,10,6
105,108,31,43,60,36,0,,33,30,33,67,0,60,42,7,37,29,34,16,39,31,37,1,6
105,109,69,63,57,56,0,,71,53,72,6,7,0,64,54,55,55,52,7,55,58,51,2,6
105,103,26,60,58,51,0,,34,54,43,42,0,34,46,18,56,62,41,20,45,26,24,3,6
105,101,56,82,83,59,0,,77,79,79,49,0,35,72,43,64,59,57,25,58,54,35,4,6
105,106,95,99,92,61,0,,79,72,65,45,0,19,87,56,83,55,58,34,73,72,60,5,6
105,102,78,73,79,53,0,,54,55,58,63,0,59,65,28,60,61,65,7,69,63,62,6,6
105,104,53,65,65,41,0,,54,53,61,44,0,64,83,16,63,42,53,17,60,43,49,7,6
105,107,82,80,79,26,69,Floormates,73,62,67,76,59,90,65,26,75,29,45,21,65,61,59,8,6
105,110,70,78,72,58,0,,58,63,60,80,41,61,60,29,75,42,55,22,72,69,43,9,6
105,100,69,62,64,59,0,,44,57,57,68,0,55,65,21,63,56,43,18,64,45,44,10,6
106,104,71,90,86,50,0,,53,80,60,65,0,51,81,53,62,76,49,62,65,56,55,1,6
106,101,50,39,73,51,0,,59,38,64,66,0,29,46,40,51,44,43,59,44,45,58,2,6
106,103,73,77,81,53,0,,58,36,71,71,0,17,77,50,66,60,61,54,68,66,71,3,6
106,108,65,66,55,65,0,,51,37,34,57,0,70,58,42,59,55,55,62,60,62,59,4,6
106,110,100,100,88,87,0,,65,58,51,79,0,100,75,40,67,74,73,74,73,83,85,5,6
106,107,100,100,100,63,0,,74,64,66,67,0,45,93,61,100,96,94,54,100,88,89,6,6
106,102,58,69,76,35,0,,57,65,66,65,0,26,50,65,51,65,52,41,62,45,56,7,6
106,105,65,81,69,67,1,,51,59,47,67,0,56,67,66,70,55,59,60,76,72,75,8,6
106,100,33,36,37,59,0,,37,62,42,55,0,47,36,28,38,32,43,47,62,43,45,9,6
106,109,100,100,100,40,51,We are fellow PMHAs for the Dartmouth cohort of the nationwide effort Project LETS.,79,85,59,57,0,14,82,38,100,77,100,33,100,100,100,10,6
107,101,92,86,87,59,32,"I have met my partner through meetings with my house identity at Dartmouth, CPR and First Aid classes, and random interactions.",35,58,57,21,0,64,81,52,75,100,60,71,85,72,67,1,6
107,103,61,35,32,65,0,,17,40,14,29,7,28,32,25,24,31,21,22,34,38,45,2,6
